N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
1,10,10,10,10,10,50208,50208,1,1,50208,cpp
2,10,10,10,10,10,50208,55272,0.908380373425966,0.454190186712983,110544,cpp
3,10,10,10,10,10,50208,62735,0.800318801307085,0.266772933769028,188205,cpp
4,10,10,10,10,10,50208,58881,0.852702909257655,0.213175727314414,235524,cpp
1,10,10,10,10,100,668172,668172,1,1,668172,cpp
2,10,10,10,10,100,668172,474967,1.40677562862262,0.70338781431131,949934,cpp
3,10,10,10,10,100,668172,399657,1.67186362305677,0.557287874352257,1198971,cpp
4,10,10,10,10,100,668172,384496,1.73778660896342,0.434446652240856,1537984,cpp
1,10,10,100,10,10,373726,373726,1,1,373726,cpp
2,10,10,100,10,10,373726,299233,1.24894647314969,0.624473236574843,598466,cpp
3,10,10,100,10,10,373726,237891,1.57099680105595,0.523665600351982,713673,cpp
4,10,10,100,10,10,373726,203482,1.83665385636076,0.45916346409019,813928,cpp
1,10,10,100,10,100,3454397,3454397,1,1,3454397,cpp
2,10,10,100,10,100,3454397,2464400,1.401719282584,0.700859641291998,4928800,cpp
3,10,10,100,10,100,3454397,2283811,1.512558175786,0.504186058595333,6851433,cpp
4,10,10,100,10,100,3454397,2206275,1.56571460946618,0.391428652366545,8825100,cpp
1,10,10,10,100,10,401509,401509,1,1,401509,cpp
2,10,10,10,100,10,401509,320950,1.25100171366256,0.625500856831282,641900,cpp
3,10,10,10,100,10,401509,259215,1.54894199795537,0.516313999318455,777645,cpp
4,10,10,10,100,10,401509,215812,1.86045724982855,0.465114312457139,863248,cpp
1,10,10,10,100,100,3578219,3578219,1,1,3578219,cpp
2,10,10,10,100,100,3578219,2535050,1.41149839253664,0.705749196268318,5070100,cpp
3,10,10,10,100,100,3578219,2364280,1.51344976060365,0.50448325353455,7092840,cpp
4,10,10,10,100,100,3578219,2421735,1.47754357929336,0.369385894823339,9686940,cpp
1,10,10,100,100,10,3511638,3511638,1,1,3511638,cpp
2,10,10,100,100,10,3511638,2376952,1.47737017827874,0.738685089139368,4753904,cpp
3,10,10,100,100,10,3511638,2124145,1.65320069957559,0.551066899858531,6372435,cpp
4,10,10,100,100,10,3511638,1727779,2.03245785485296,0.508114463713241,6911116,cpp
1,10,10,100,100,100,38022667,38022667,1,1,38022667,cpp
2,10,10,100,100,100,38022667,23136037,1.64343906434797,0.821719532173985,46272074,cpp
3,10,10,100,100,100,38022667,19278559,1.97227744044563,0.657425813481876,57835677,cpp
4,10,10,100,100,100,38022667,16553987,2.29688877972418,0.574222194931046,66215948,cpp
1,100,10,10,10,10,54862,54862,1,1,54862,cpp
2,100,10,10,10,10,54862,45185,1.21416399247538,0.607081996237689,90370,cpp
3,100,10,10,10,10,54862,45886,1.19561522032864,0.398538406776214,137658,cpp
4,100,10,10,10,10,54862,46509,1.17959964738008,0.294899911845019,186036,cpp
1,100,10,10,10,100,509184,509184,1,1,509184,cpp
2,100,10,10,10,100,509184,527757,0.964807667165002,0.482403833582501,1055514,cpp
3,100,10,10,10,100,509184,461564,1.10317095787366,0.367723652624555,1384692,cpp
4,100,10,10,10,100,509184,473740,1.07481741039389,0.268704352598472,1894960,cpp
1,100,10,100,10,10,487451,487451,1,1,487451,cpp
2,100,10,100,10,10,487451,354577,1.37473947830796,0.687369739153978,709154,cpp
3,100,10,100,10,10,487451,291992,1.66939847667059,0.556466158890198,875976,cpp
4,100,10,100,10,10,487451,252681,1.9291161583182,0.482279039579549,1010724,cpp
1,100,10,100,10,100,4480414,4480414,1,1,4480414,cpp
2,100,10,100,10,100,4480414,3134652,1.42931783177208,0.714658915886038,6269304,cpp
3,100,10,100,10,100,4480414,2871726,1.56018157721175,0.520060525737251,8615178,cpp
4,100,10,100,10,100,4480414,2417221,1.85353925023819,0.463384812559547,9668884,cpp
1,100,10,10,100,10,475357,475357,1,1,475357,cpp
2,100,10,10,100,10,475357,347071,1.36962465893146,0.684812329465729,694142,cpp
3,100,10,10,100,10,475357,285363,1.66579759814692,0.555265866048974,856089,cpp
4,100,10,10,100,10,475357,239435,1.98532795957149,0.496331989892873,957740,cpp
1,100,10,10,100,100,4469502,4469502,1,1,4469502,cpp
2,100,10,10,100,100,4469502,3029921,1.47512162858372,0.737560814291858,6059842,cpp
3,100,10,10,100,100,4469502,2763686,1.61722496694632,0.539074988982106,8291058,cpp
4,100,10,10,100,100,4469502,2310207,1.93467598358069,0.483668995895173,9240828,cpp
1,100,10,100,100,10,4347790,4347790,1,1,4347790,cpp
2,100,10,100,100,10,4347790,2837842,1.53207613390738,0.766038066953692,5675684,cpp
3,100,10,100,100,10,4347790,2330344,1.86572883660095,0.621909612200316,6991032,cpp
4,100,10,100,100,10,4347790,1966081,2.21139922515909,0.552849806289771,7864324,cpp
1,100,10,100,100,100,43253455,43253455,1,1,43253455,cpp
2,100,10,100,100,100,43253455,28273212,1.52983873922779,0.764919369613895,56546424,cpp
3,100,10,100,100,100,43253455,23775568,1.81923960765101,0.606413202550338,71326704,cpp
4,100,10,100,100,100,43253455,19862822,2.1776087506599,0.544402187664975,79451288,cpp
