N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
1,10,10,10,10,10,64804,64804,1,1,64804,cpp_adv_dyn
2,10,10,10,10,10,64804,50949,1.27193860527194,0.635969302635969,101898,cpp_adv_dyn
3,10,10,10,10,10,64804,46459,1.39486428894294,0.46495476298098,139377,cpp_adv_dyn
4,10,10,10,10,10,64804,43813,1.47910437541369,0.369776093853423,175252,cpp_adv_dyn
1,10,10,10,10,100,375301,375301,1,1,375301,cpp_adv_dyn
2,10,10,10,10,100,375301,310309,1.20944284567963,0.604721422839815,620618,cpp_adv_dyn
3,10,10,10,10,100,375301,275463,1.36243706051266,0.454145686837555,826389,cpp_adv_dyn
4,10,10,10,10,100,375301,271782,1.38088983082029,0.345222457705072,1087128,cpp_adv_dyn
1,10,10,100,10,10,2226491,2226491,1,1,2226491,cpp_adv_dyn
2,10,10,100,10,10,2226491,376952,5.90656370041809,2.95328185020905,753904,cpp_adv_dyn
3,10,10,100,10,10,2226491,327328,6.80201815915534,2.26733938638511,981984,cpp_adv_dyn
4,10,10,100,10,10,2226491,221768,10.0397307095704,2.50993267739259,887072,cpp_adv_dyn
1,10,10,100,10,100,3234104,3234104,1,1,3234104,cpp_adv_dyn
2,10,10,100,10,100,3234104,1935817,1.67066618383866,0.835333091919329,3871634,cpp_adv_dyn
3,10,10,100,10,100,3234104,1490171,2.170290523705,0.723430174568333,4470513,cpp_adv_dyn
4,10,10,100,10,100,3234104,1310283,2.46824846235508,0.61706211558877,5241132,cpp_adv_dyn
1,10,10,10,100,10,325528,325528,1,1,325528,cpp_adv_dyn
2,10,10,10,100,10,325528,196068,1.66028112695595,0.830140563477977,392136,cpp_adv_dyn
3,10,10,10,100,10,325528,156770,2.07646871212604,0.692156237375348,470310,cpp_adv_dyn
4,10,10,10,100,10,325528,140414,2.31834432463999,0.579586081159998,561656,cpp_adv_dyn
1,10,10,10,100,100,2802329,2802329,1,1,2802329,cpp_adv_dyn
2,10,10,10,100,100,2802329,1847347,1.51694781760005,0.758473908800025,3694694,cpp_adv_dyn
3,10,10,10,100,100,2802329,1531184,1.83017129228101,0.610057097427002,4593552,cpp_adv_dyn
4,10,10,10,100,100,2802329,1332209,2.10352054369847,0.525880135924618,5328836,cpp_adv_dyn
1,10,10,100,100,10,2836229,2836229,1,1,2836229,cpp_adv_dyn
2,10,10,100,100,10,2836229,1851755,1.53164376496891,0.765821882484454,3703510,cpp_adv_dyn
3,10,10,100,100,10,2836229,1489935,1.90359243859631,0.634530812865438,4469805,cpp_adv_dyn
4,10,10,100,100,10,2836229,1255757,2.25858107898264,0.564645269745659,5023028,cpp_adv_dyn
1,10,10,100,100,100,26263920,26263920,1,1,26263920,cpp_adv_dyn
2,10,10,100,100,100,26263920,17263606,1.52134611969249,0.760673059846245,34527212,cpp_adv_dyn
3,10,10,100,100,100,26263920,13976064,1.87920719309814,0.626402397699381,41928192,cpp_adv_dyn
4,10,10,100,100,100,26263920,13939763,1.88410089898946,0.471025224747365,55759052,cpp_adv_dyn
1,100,10,10,10,10,64453,64453,1,1,64453,cpp_adv_dyn
2,100,10,10,10,10,64453,52481,1.22812065318877,0.614060326594387,104962,cpp_adv_dyn
3,100,10,10,10,10,64453,45089,1.42946173124265,0.476487243747551,135267,cpp_adv_dyn
4,100,10,10,10,10,64453,41822,1.54112667973794,0.385281669934484,167288,cpp_adv_dyn
1,100,10,10,10,100,422480,422480,1,1,422480,cpp_adv_dyn
2,100,10,10,10,100,422480,333231,1.26782922357164,0.633914611785818,666462,cpp_adv_dyn
3,100,10,10,10,100,422480,347168,1.21693243616923,0.405644145389744,1041504,cpp_adv_dyn
4,100,10,10,10,100,422480,328585,1.28575558835613,0.321438897089033,1314340,cpp_adv_dyn
1,100,10,100,10,10,469308,469308,1,1,469308,cpp_adv_dyn
2,100,10,100,10,10,469308,274773,1.70798440894848,0.853992204474239,549546,cpp_adv_dyn
3,100,10,100,10,10,469308,213693,2.19617863009083,0.73205954336361,641079,cpp_adv_dyn
4,100,10,100,10,10,469308,201484,2.32925691370034,0.582314228425086,805936,cpp_adv_dyn
1,100,10,100,10,100,3553799,3553799,1,1,3553799,cpp_adv_dyn
2,100,10,100,10,100,3553799,2473969,1.43647677072752,0.718238385363762,4947938,cpp_adv_dyn
3,100,10,100,10,100,3553799,2117968,1.67792856171576,0.559309520571919,6353904,cpp_adv_dyn
4,100,10,100,10,100,3553799,1943991,1.82809436874965,0.457023592187412,7775964,cpp_adv_dyn
1,100,10,10,100,10,423264,423264,1,1,423264,cpp_adv_dyn
2,100,10,10,100,10,423264,266646,1.5873630206341,0.79368151031705,533292,cpp_adv_dyn
3,100,10,10,100,10,423264,199137,2.1254914958044,0.708497165268132,597411,cpp_adv_dyn
4,100,10,10,100,10,423264,191741,2.20747779556798,0.551869448891995,766964,cpp_adv_dyn
1,100,10,10,100,100,3486649,3486649,1,1,3486649,cpp_adv_dyn
2,100,10,10,100,100,3486649,2409456,1.44706896494478,0.723534482472392,4818912,cpp_adv_dyn
3,100,10,10,100,100,3486649,2079426,1.67673627241364,0.558912090804546,6238278,cpp_adv_dyn
4,100,10,10,100,100,3486649,1887568,1.84716471141702,0.461791177854255,7550272,cpp_adv_dyn
1,100,10,100,100,10,3505624,3505624,1,1,3505624,cpp_adv_dyn
2,100,10,100,100,10,3505624,2159792,1.62313037551764,0.811565187758821,4319584,cpp_adv_dyn
3,100,10,100,100,10,3505624,1773135,1.9770767595248,0.659025586508265,5319405,cpp_adv_dyn
4,100,10,100,100,10,3505624,1555376,2.25387559021098,0.563468897552746,6221504,cpp_adv_dyn
